character	grade	frequency_rank	stroke_count	meaning	onyomi	kunyomi	radical
構	5	316	14	posture, stance, appearance, build, set up	コウ	かま.える,かま.う	木
木	1	317	4	tree, wood	ボク,モク	き,こ-	木
割	6	318	12	proportion, comparatively, divide, cut, separate, split	カツ	わ.る,わり,わ.り,わ.れる,さ.く	刀
聞	2	319	14	hear, ask, listen	ブン,モン	き.く,き.こえる	耳
身	3	320	7	somebody, person, one's station in life	シン	み	身
費	5	321	12	expense, cost, spend, consume, waste	ヒ	つい.やす,つい.える	貝
付	4	322	5	adhere, attach, refer to, append	フ	つ.ける,-つ.ける,-づ.ける,つ.け,つ.け-,-つ.け,-づ.け,-づけ,つ.く,-づ.く,つ.き,-つ.き,-つき,-づ.き,-づき	化
施	8	323	9	give, bestow, perform, alms	シ,セ	ほどこ.す	方
切	2	324	4	cut, cutoff, be sharp	セツ,サイ	き.る,-き.る,き.り,-き.り,-ぎ.り,き.れる,-き.れる,き.れ,-き.れ,-ぎ.れ	刀
由	3	325	5	wherefore, a reason	ユ,ユウ,ユイ	よし,よ.る	田
説	4	326	14	opinion, theory, explanation, rumor	セツ,ゼイ	と.く	言
転	3	327	11	revolve, turn around, change	テン	ころ.がる,ころ.げる,ころ.がす,ころ.ぶ,まろ.ぶ,うたた,うつ.る,くる.めく	車
食	2	328	9	eat, food	ショク,ジキ	く.う,く.らう,た.べる,は.む	食
比	5	329	4	compare, race, ratio, Philippines	ヒ	くら.べる	比
難	6	330	18	difficult, impossible, trouble, accident, defect	ナン	かた.い,-がた.い,むずか.しい,むづか.しい,むつか.しい,-にく.い	隹
防	5	331	7	ward off, defend, protect, resist	ボウ	ふせ.ぐ	阡
補	6	332	12	supplement, supply, make good, offset, compensate, assistant, learner	ホ	おぎな.う	衣
車	1	333	7	car	シャ	くるま	車
優	6	334	17	tenderness, excel, surpass, actor, superiority, gentleness	ユウ,ウ	やさ.しい,すぐ.れる,まさ.る	化
夫	4	335	4	husband, man	フ,フウ,ブ	おっと,それ	大
研	3	336	9	polish, study of, sharpen	ケン	と.ぐ	石
収	6	337	4	income, obtain, reap, pay, supply, store	シュウ	おさ.める,おさ.まる	又
断	5	338	11	severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting	ダン	た.つ,ことわ.る,さだ.める	斤
井	4	339	4	well, well crib, town, community	セイ,ショウ	い	二
何	2	340	7	what	カ	なに,なん,なに-,なん-	化
南	2	341	9	south	ナン,ナ	みなみ	十
石	1	342	5	stone	セキ,シャク,コク	いし	石
足	1	343	7	leg, foot, be sufficient, counter for pairs of footwear	ソク	あし,た.りる,た.る,た.す	足
違	8	344	13	difference, differ	イ	ちが.う,ちが.い,ちが.える,-ちが.える,たが.う,たが.える	込
消	3	345	10	extinguish, blow out, turn off, neutralize, cancel	ショウ	き.える,け.す	汁
境	5	346	14	boundary, border, region	キョウ,ケイ	さかい	土
神	3	347	9	gods, mind, soul	シン,ジン	かみ,かん-,こう-	示
番	2	348	12	turn, number in a series	バン	つが.い	田
規	5	349	11	standard, measure	キ		見
術	5	350	11	art, technique, skill, means, trick, resources, magic	ジュツ	すべ	行
護	5	351	20	safeguard, protect	ゴ	まも.る	言
展	6	352	10	unfold, expand	テン		尸
態	5	353	14	attitude, condition, figure, appearance, voice (of verbs)	タイ	わざ.と	心
導	5	354	15	guidance, leading, conduct, usher	ドウ	みちび.く	寸
鮮	8	355	17	fresh, vivid, clear, brilliant, Korea	セン	あざ.やか	魚
備	5	356	12	equip, provision, preparation	ビ	そな.える,そな.わる,つぶさ.に	化
宅	6	357	6	home, house, residence, our house, my husband	タク		宀
害	4	358	10	harm, injury	ガイ		宀
配	3	359	10	distribute, spouse, exile, rationing	ハイ	くば.る	酉
副	4	360	11	vice-, assistant, aide, duplicate, copy	フク		刀
算	2	361	14	calculate, divining, number, abacus, probability	サン	そろ	竹
視	6	362	11	inspection, regard as, see, look at	シ	み.る	見
条	5	363	7	article, clause, counter for articles, clauses, paragraphs, etc., twig, item, stripe, streak	ジョウ,チョウ,デキ	えだ,すじ	木
幹	5	364	13	tree trunk, main part, talent, capability	カン	みき	干
独	5	365	9	single, alone, spontaneously, Germany	ドク,トク	ひと.り	犯
警	6	366	19	admonish, commandment	ケイ	いまし.める	言
宮	3	367	10	Shinto shrine, constellations, palace, princess	キュウ,グウ,ク,クウ	みや	宀
究	3	368	7	research, study	キュウ,ク	きわ.める	穴
育	3	369	8	bring up, grow up, raise, rear	イク	そだ.つ,そだ.ち,そだ.てる,はぐく.む	肉
席	4	370	10	seat, mat, occasion, place	セキ	むしろ	巾
輸	5	371	16	transport, send, be inferior	ユ,シュ		車
訪	6	372	11	call on, visit, look up, offer sympathy	ホウ	おとず.れる,たず.ねる,と.う	言
楽	2	373	13	music, comfort, ease	ガク,ラク,ゴウ	たの.しい,たの.しむ,この.む	木
起	3	374	10	rouse, wake up, get up	キ	お.きる,お.こる,お.こす,おこ.す,た.つ	走
万	2	375	3	ten thousand, 10,000	マン,バン	よろず	一
着	3	376	12	don, arrive, wear, counter for suits of clothing	チャク,ジャク	き.る,き.せる,つ.く,つ.ける	目
乗	3	377	9	ride, power, multiplication, record, counter for vehicles, board, mount, join	ジョウ,ショウ	の.る,-の.り,の.せる	ノ
店	2	378	8	store, shop	テン	みせ,たな	广
述	5	379	8	mention, state, speak, relate	ジュツ	の.べる	込
残	4	380	10	remainder, leftover, balance	ザン,サン	のこ.る,のこ.す,そこな.う,のこ.り	歹
想	3	381	13	idea, thought, conception, think	ソウ,ソ	おも.う	心
線	2	382	15	line, track	セン	すじ	糸
率	5	383	11	ratio, rate, proportion, %, factor, lead, spearhead, command	ソツ,リツ,シュツ	ひき.いる	玄
病	3	384	10	ill, sick	ビョウ,ヘイ	や.む,-や.み,やまい	疔
農	3	385	13	agriculture, farmers	ノウ		辰
州	3	386	6	state, province	シュウ,ス	す	巛
武	5	387	8	warrior, military, chivalry, arms	ブ,ム	たけ,たけ.し	止
声	2	388	7	voice	セイ,ショウ	こえ,こわ-	士
質	5	389	15	substance, quality, matter, temperament	シツ,シチ,チ	たち,ただ.す,もと,わりふ	貝
念	4	390	8	wish, sense, idea, thought, feeling, desire, attention	ネン		心
待	3	391	9	wait, depend on	タイ	ま.つ,-ま.ち	彳
試	4	392	13	test, try, attempt, experiment, ordeal	シ	こころ.みる,ため.す	言
族	3	393	11	tribe, family	ゾク		方
象	5	394	12	elephant, pattern after, imitate, image, shape, sign (of the times)	ショウ,ゾウ	かたど.る	豕
銀	3	395	14	silver	ギン	しろがね	金
域	6	396	11	range, region, limits, stage, level	イキ		土
助	3	397	7	help, rescue, assist	ジョ	たす.ける,たす.かる,す.ける,すけ	力
労	4	398	7	labor, thank for, reward for, toil, trouble	ロウ	ろう.する,いたわ.る,いた.ずき,ねぎら,つか.れる,ねぎら.う	力
例	4	399	8	example, custom, usage, precedent	レイ	たと.える	化
衛	5	400	16	defense, protection	エイ,エ		行
然	4	401	12	sort of thing, so, if so, in that case, well	ゼン,ネン	しか,しか.り,しか.し,さ	火
早	1	402	6	early, fast	ソウ,サッ	はや.い,はや,はや-,はや.まる,はや.める,さ-	日
張	5	403	11	counter for bows & stringed instruments, stretch, spread, put up (tent)	チョウ	は.る,-は.り,-ば.り	弓
映	6	404	9	reflect, reflection, projection	エイ	うつ.る,うつ.す,は.える,-ば.え	日
限	5	405	9	limit, restrict, to best of ability	ゲン	かぎ.る,かぎ.り,-かぎ.り	阡
親	2	406	16	parent, intimacy, relative, familiarity, dealer (cards)	シン	おや,おや-,した.しい,した.しむ	見
額	5	407	18	forehead, tablet, plaque, framed picture, sum, amount, volume	ガク	ひたい	頁
監	8	408	15	oversee, official, govt office, rule, administer	カン		皿
環	8	409	17	ring, circle, loop	カン	わ	王
験	4	410	18	verification, effect, testing	ケン,ゲン	あかし,しるし,ため.す,ためし	馬
追	3	411	9	chase, drive away, follow, pursue, meanwhile	ツイ	お.う	込
審	8	412	15	hearing, judge, trial	シン	つまび.らか,つぶさ.に	宀
商	3	413	11	make a deal, selling, dealing in, merchant	ショウ	あきな.う	口
葉	3	414	12	leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece	ヨウ	は	艾
義	5	415	13	righteousness, justice, morality, honor, loyalty, meaning	ギ		羊
伝	4	416	6	transmit, go along, walk along, follow, report, communicate, legend, tradition	デン,テン	つた.わる,つた.える,つた.う,つだ.う,-づた.い,つて	化
働	4	417	13	work, (kokuji)	ドウ	はたら.く	化
形	2	418	7	shape, form, style	ケイ,ギョウ	かた,-がた,かたち,なり	彡
景	4	419	12	scenery, view	ケイ		日
落	3	420	12	fall, drop, come down, village, hamlet	ラク	お.ちる,お.ち,お.とす	艾
欧	8	421	8	Europe	オウ	うた.う,は.く	欠
担	6	422	8	shouldering, carry, raise, bear	タン	かつ.ぐ,にな.う	扎
好	4	423	6	fond, pleasing, like something	コウ	この.む,す.く,よ.い,い.い	女
退	6	424	9	retreat, withdraw, retire, resign, repel, expel, reject	タイ	しりぞ.く,しりぞ.ける,ひ.く,の.く,の.ける,ど.く	込
準	5	425	13	semi-, correspond to, proportionate to, conform, imitate	ジュン	じゅん.じる,じゅん.ずる,なぞら.える,のり,ひと.しい,みずもり	汁
賞	5	426	15	prize, reward, praise	ショウ	ほ.める	貝
訴	8	427	12	accusation, sue, complain of pain, appeal to	ソ	うった.える	言
辺	4	428	5	environs, boundary, border, vicinity	ヘン	あた.り,ほと.り,-べ	込
造	5	429	10	create, make, structure, physique	ゾウ	つく.る,つく.り,-づく.り	込
英	4	430	8	England, English, hero, outstanding, calyx	エイ	はなぶさ	艾
被	8	431	10	incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving	ヒ	こうむ.る,おお.う,かぶ.る,かぶ.せる	衣
株	6	432	10	stocks, stump, shares, stock, counter for small plants	シュ	かぶ	木
頭	2	433	16	head, counter for large animals	トウ,ズ,ト	あたま,かしら,-がしら,かぶり	頁
技	5	434	7	skill, art, craft, ability, feat, performance, vocation, arts	ギ	わざ	扎
低	4	435	7	lower, short, humble	テイ	ひく.い,ひく.める,ひく.まる	化
毎	2	436	6	every	マイ	ごと,-ごと.に	毋
医	3	437	7	doctor, medicine	イ	い.やす,い.する,くすし	
復	5	438	12	restore, return to, revert, resume	フク	また	彳
仕	3	439	5	attend, doing, official, serve	シ,ジ	つか.える	化
去	3	440	5	gone, past, quit, leave, elapse, eliminate, divorce	キョ,コ	さ.る,-さ.る	厶
姿	6	441	9	figure, form, shape	シ	すがた	女
味	3	442	8	flavor, taste	ミ	あじ,あじ.わう	口
負	3	443	9	defeat, negative, -, minus, bear, owe, assume a responsibility	フ	ま.ける,ま.かす,お.う	貝
閣	6	444	14	tower, tall building, palace	カク		門
韓	8	445	18	Korea	カン	から,いげた	韋
渡	8	446	12	transit, ford, ferry, cross, import, deliver, diameter, migrate	ト	わた.る,-わた.る,わた.す	汁
失	4	447	5	lose, error, fault, disadvantage, loss	シツ	うしな.う,う.せる	大
移	5	448	11	shift, move, change, drift, catch (cold, fire), pass into	イ	うつ.る,うつ.す	禾
差	4	449	10	distinction, difference, variation, discrepancy, margin, balance	サ	さ.す,さ.し	工
衆	6	450	12	masses, great numbers, multitude, populace	シュウ,シュ	おお.い	血
個	5	451	10	individual, counter for articles	コ,カ		化
門	2	452	8	gate, counter for cannons	モン	かど,と	門
写	3	453	5	copy, be photographed, describe	シャ,ジャ	うつ.す,うつ.る,うつ-,うつ.し	冖
評	5	454	12	evaluate, criticism, comment	ヒョウ		言
課	4	455	15	chapter, lesson, section, department, division, counter for chapters (of a book)	カ		言
末	4	456	5	end, close, tip, powder, posterity	マツ,バツ	すえ,うら,うれ	木
守	3	457	6	guard, protect, defend, obey	シュ,ス	まも.る,まも.り,もり,-もり,かみ	宀
若	6	458	8	young, if, perhaps, possibly, low number, immature	ジャク,ニャク,ニャ	わか.い,わか-,も.しくわ,も.し,も.しくは,ごと.し	艾
脳	6	459	11	brain, memory	ノウ,ドウ	のうずる	肉
極	4	460	12	extreme, pole, extremely, very, highly, most, end, settlement, conclusion, highest rank	キョク,ゴク	きわ.める,きわ.まる,きわ.まり,きわ.み,き.める,-ぎ.め,き.まる	木
種	4	461	14	species, kind, class, variety, seed	シュ	たね,-ぐさ	禾
美	3	462	9	beauty, beautiful	ビ,ミ	うつく.しい	羊
岡	4	463	8	mount, hill, knoll	コウ	おか	山
影	8	464	15	shadow, silhouette, phantom	エイ	かげ	彡
命	3	465	8	fate, command, decree, destiny, life, appoint	メイ,ミョウ	いのち	口
含	8	466	7	contain, include, hold in the mouth, bear in mind, understand, cherish	ガン	ふく.む,ふく.める	口
福	3	467	13	blessing, fortune, luck, wealth	フク		示
蔵	6	468	15	storehouse, hide, own, have, possess	ゾウ,ソウ	くら,おさ.める,かく.れる	艾
量	4	469	12	quantity, measure, weight, amount, consider, estimate, surmise	リョウ	はか.る	里
望	4	470	11	ambition, full moon, hope, desire, aspire to, expect	ボウ,モウ	のぞ.む,もち	月
松	4	471	8	pine tree	ショウ	まつ	木
非	5	472	8	un-, mistake, negative, injustice, non-	ヒ	あら.ず	非
撃	8	473	15	beat, attack, defeat, conquer	ゲキ	う.つ	扎
佐	4	474	7	assistant, help	サ		化
核	8	475	10	nucleus, core, kernel	カク		木
観	4	476	18	outlook, look, appearance, condition, view	カン	み.る,しめ.す	見
察	4	477	14	guess, presume, surmise, judge, understand	サツ		宀
整	3	478	16	organize, arranging, tune, tone, meter, key (music)	セイ	ととの.える,ととの.う	攵
段	6	479	9	grade, steps, stairs	ダン,タン		殳
横	3	480	15	sideways, side, horizontal, width, woof, unreasonable, perverse	オウ	よこ	木
融	8	481	16	dissolve, melt	ユウ	と.ける,と.かす	虫
型	5	482	9	mould, type, model	ケイ	かた,-がた	土
白	1	483	5	white	ハク,ビャク	しろ,しら-,しろ.い	白
深	3	484	11	deep, heighten, intensify, strengthen	シン	ふか.い,-ぶか.い,ふか.まる,ふか.める,み-	汁
字	1	485	6	character, letter, word, section of village	ジ	あざ,あざな,-な	子
答	2	486	12	solution, answer	トウ	こた.える,こた.え	竹
夜	2	487	8	night, evening	ヤ	よ,よる	夕
製	5	488	14	made in..., manufacture	セイ		衣
票	4	489	11	ballot, label, ticket, sign	ヒョウ		示
況	8	490	8	condition, situation	キョウ	まし.て,いわ.んや,おもむき	汁
音	1	491	9	sound, noise	オン,イン,-ノン	おと,ね	音
申	3	492	5	have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac	シン	もう.す,もう.し-,さる	田
様	3	493	14	Esq., way, manner, situation, polite suffix	ヨウ,ショウ	さま,さん	木
財	5	494	10	property, money, wealth, assets	ザイ,サイ,ゾク	たから	貝
港	3	495	12	harbor	コウ	みなと	汁
識	5	496	19	discriminating, know, write	シキ	し.る,しる.す	言
注	3	497	8	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate	チュウ	そそ.ぐ,さ.す,つ.ぐ	汁
呼	6	498	8	call, call out to, invite	コ	よ.ぶ	口
渉	8	499	11	ford, go cross, transit, ferry, import, involve	ショウ	わた.る	汁
達	4	500	12	accomplished, reach, arrive, attain	タツ,ダ	-たち	込
彼	8	648	8	he, that, the	ヒ	かれ,かの,か.の	彳
処	6	547	5	dispose, manage, deal with, sentence, condemn, act, behave, place	ショ	ところ,-こ,お.る	几
否	6	561	7	negate, no, noes, refuse, decline, deny	ヒ	いな,いや	口
如	8	1704	6	likeness, like, such as, as if, better, best, equal	ジョ,ニョ	ごと.し	女
居	5	836	8	reside, to be, exist, live with	キョ,コ	い.る,-い,お.る	尸
御	8	1087	12	honorable, manipulate, govern	ギョ,ゴ	おん-,お-,み-	彳
座	6	588	10	squat, seat, cushion, gathering, sit	ザ	すわ.る	广
握	8	1003	12	grip, hold, mould sushi, bribe	アク	にぎ.る	扎
菓	8	1719	11	candy, cakes, fruit	カ		艾
願	4	894	19	petition, request, vow, wish, hope	ガン	ねが.う,-ねがい	頁
致	8	870	10	doth, do, send, forward, cause, exert, incur, engage	チ	いた.す	至
帰	2	504	10	homecoming, arrive at, lead to, result in	キ	かえ.る,かえ.す,おく.る,とつ.ぐ	巾
客	3	557	9	guest, visitor, customer, client	キャク,カク		宀
休	1	642	6	rest, day off, retire, sleep	キュウ	やす.む,やす.まる,やす.める	化
兄	2	1219	5	elder brother, big brother	ケイ,キョウ	あに	儿
焼	4	982	12	bake, burning	ショウ	や.く,や.き,や.き-,-や.き,や.ける	火
絞	8	1288	12	strangle, constrict, wring	コウ	しぼ.る,し.める,し.まる	糸
舞	8	655	15	dance, flit, circle, wheel	ブ	ま.う,-ま.う,まい	舛
遣	8	664	13	dispatch, despatch, send, give, donate, do, undertake	ケン	つか.う,-つか.い,-づか.い,つか.わす,や.る	込
姉	2	1473	8	elder sister	シ	あね,はは	女
辞	4	633	13	resign, word, term, expression	ジ	や.める,いな.む	辛
儀	8	739	15	ceremony, rule, affair, case, a matter	ギ		化
邪	8	1612	8	wicked, injustice, wrong	ジャ	よこし.ま	邦
魔	8	1514	21	witch, demon, evil spirit	マ		鬼
洗	6	1168	9	wash, inquire into, probe	セン	あら.う	汁
巡	8	1262	6	patrol, go around, circumference	ジュン	めぐ.る,めぐ.り	巛
祖	5	1226	9	ancestor, pioneer, founder	ソ		示
父	2	646	4	father	フ	ちち	父
母	2	570	5	mother	ボ	はは,も	毋
袋	8	1125	11	sack, bag, pouch	タイ,ダイ	ふくろ	衣
誕	6	1024	15	nativity, be born, declension, lie, be arbitrary	タン		言
茶	2	1116	9	tea	チャ,サ		艾
天	1	512	4	heavens, sky, imperial	テン	あまつ,あめ,あま-	大
疲	8	1263	10	exhausted, tire, weary	ヒ	つか.れる,-づか.れ,つか.らす	疔
腹	6	1286	13	abdomen, belly, stomach	フク	はら	肉
返	3	685	7	return, answer, fade, repay	ヘン	かえ.す,-かえ.す,かえ.る,-かえ.る	込
墨	8	1616	14	black ink, India ink, ink stick, Mexico	ボク	すみ	土
敵	6	1205	15	enemy, foe, opponent	テキ	かたき,あだ,かな.う	攵
適	5	670	14	suitable, occasional, rare, qualified, capable	テキ	かな.う	込
弱	2	958	10	weak, frail	ジャク	よわ.い,よわ.る,よわ.まる,よわ.める	弓
刻	6	866	8	engrave, cut fine, chop, hash, mince, time, carving	コク	きざ.む,きざ.み	刀
草	1	967	9	grass, weeds, herbs, pasture, write, draft	ソウ	くさ,くさ-,-ぐさ	艾
較	8	1172	13	contrast, compare	カク,コウ	くら.べる	車
競	4	610	20	emulate, compete with, bid, sell at auction, bout, contest, race	キョウ,ケイ	きそ.う,せ.る,くら.べる	立
愚	8	1551	13	foolish, folly, absurdity, stupid	グ	おろ.か	心
図	2	539	7	map, drawing, plan, extraordinary, audacious	ズ,ト	え,はか.る	囗
拘	8	1336	8	arrest, seize, concerned, adhere to, despite	コウ	かか.わる	扎
尽	8	1234	6	exhaust, use up, run out of, deplete, befriend, serve	ジン,サン	つ.きる,つ.くす,つ.かす,-づ.く,-ず.く,ことごと.く	尸
是	8	1045	9	just so, this, right, justice	ゼ,シ	これ,この,ここ	日
等	3	798	12	etc., and so forth, class (first), quality, equal, similar	トウ	ひと.しい,など,-ら	竹
之	9	1318	3	of, this	シ	の,これ,ゆく,この	ノ
箱	3	1357	15	box, chest, case, bin, railway car	ソウ	はこ	竹
芥	9	1929	7	mustard, rape, dust, trash, rubbish	カイ,ケ	からし,ごみ,あくた	艾
苦	3	623	8	suffering, trial, worry, hardship, feel bitter, scowl	ク	くる.しい,-ぐる.しい,くる.しむ,くる.しめる,にが.い,にが.る	艾
走	2	626	7	run	ソウ	はし.る	走
頻	8	1590	17	repeatedly, recur	ヒン	しき.りに	頁
執	8	800	11	tenacious, take hold, grasp, take to heart	シツ,シュウ	と.る	土
染	6	837	9	dye, color, paint, stain, print	セン	そ.める,そ.まる,し.みる,し.み	木
逆	5	683	9	inverted, reverse, opposite, wicked	ギャク,ゲキ	さか,さか.さ,さか.らう	込
凝	8	1712	16	congeal, freeze, stiff, be absorbed in	ギョウ	こ.る,こ.らす,こご.らす,こご.らせる,こご.る	冫
拳	8	1935	10	fist	ケン,ゲン	こぶし	扎
擦	8	1485	17	grate, rub, scratch, scrape, chafe, scour	サツ	す.る,す.れる,-ず.れ,こす.る,こす.れる	扎
摩	8	1252	15	chafe, rub, polish, grind, scrape	マ	ま.する,さす.る,す.る	扎
其	9	1930	8	that	キ,ギ,ゴ	それ,その	ハ
奴	8	1932	5	guy, slave, manservant, fellow	ド	やつ,やっこ	女
他	3	543	5	other, another, the others	タ	ほか	化
抑	8	834	7	repress, well, now, in the first place, push, shove, press, seal, do in spite of	ヨク	おさ.える	扎
風	2	558	9	wind, air, style, manner	フウ,フ	かぜ,かざ-	風
微	8	1108	13	delicate, minuteness, insignificance	ビ	かす.か	彳
程	5	514	12	extent, degree, law, formula, distance, limits, amount	テイ	ほど,-ほど	禾
丈	8	1375	3	length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely	ジョウ	たけ,だけ	一
怠	8	1703	9	neglect, laziness	タイ	おこた.る,なま.ける	心
序	5	1160	7	preface, beginning, order, precedence, occasion, chance, incidentally	ジョ	つい.で,ついで	广
熟	6	1415	15	mellow, ripen, mature, acquire skill	ジュク	う.れる	火
詰	8	1020	13	packed, close, pressed, reprove, rebuke, blame	キツ,キチ	つ.める,つ.め,-づ.め,つ.まる,つ.む	言
飛	4	580	9	fly, skip (pages), scatter	ヒ	と.ぶ,と.ばす,-と.ばす	飛
泥	8	1589	8	mud, mire, adhere to, be attached to	デイ,ナイ,デ,ニ	どろ,なず.む	汁
閑	8	1994	12	leisure	カン		門
故	5	612	9	happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently	コ	ゆえ,ふる.い,もと	攵
柔	8	1187	9	tender, weakness, gentleness, softness	ジュウ,ニュウ	やわ.らか,やわ.らかい,やわ,やわ.ら	木
因	5	636	6	cause, factor, be associated with, depend on, be limited to	イン	よ.る,ちな.む	囗
依	8	906	8	reliant, depend on, consequently, therefore, due to	イ,エ	よ.る	化
異	6	631	11	uncommon, different, queerness, strangeness, wonderful, curious, unusual	イ	こと,こと.なる,け	田
拠	8	858	8	foothold, based on, follow, therefore	キョ,コ	よ.る	扎
就	6	624	12	concerning, settle, take position, depart, study, per	シュウ,ジュ	つ.く,つ.ける	尢
延	6	747	8	prolong, stretching	エン	の.びる,の.べる,の.べ,の.ばす	廴
許	5	720	11	permit, approve	キョ	ゆる.す,もと	言
緊	8	677	15	tense, solid, hard, reliable, tight	キン	し.める,し.まる	糸
管	4	517	14	pipe, tube, wind instrument, drunken talk, control, jurisdiction	カン	くだ	竹
棒	6	1455	12	rod, stick, cane, pole, club, line	ボウ		木
呆		1848	7	be amazed, disgusted, shocked	ホウ	ほけ.る,ぼ.ける,あき.れる,おろか	口
忠	6	1113	8	loyalty, fidelity, faithfulness	チュウ		心
矢	2	1294	5	dart, arrow	シ	や	矢
繰	8	872	19	winding, reel, spin, turn (pages), look up, refer to	ソウ	く.る	糸
揺	8	1079	12	swing, shake, sway, rock, tremble, vibrate	ヨウ	ゆ.れる,ゆ.る,ゆ.らぐ,ゆ.るぐ,ゆ.する,ゆ.さぶる,ゆ.すぶる,うご.く	扎
寄	5	673	11	draw near, stop in, bring near, gather, collect, send, forward	キ	よ.る,-よ.り,よ.せる	宀
越	8	897	12	surpass, cross over, move to, exceed, Vietnam	エツ,オツ	こ.す,-こ.す,-ご.し,こ.える,-ご.え	走
亜	8	1509	7	Asia, rank next, come after, -ous	ア	つ.ぐ	二
細	2	537	11	dainty, get thin, taper, slender, narrow, detailed, precise	サイ	ほそ.い,ほそ.る,こま.か,こま.かい	糸
酸	5	1218	14	acid, bitterness, sour, tart	サン	す.い	酉
里	2	1096	7	ri, village, parent's home, league	リ	さと	里
尼	8	1844	5	nun	ニ	あま	尸
吉	8	711	6	good luck, joy, congratulations	キチ,キツ	よし	口
色	2	621	6	color	ショク,シキ	いろ	色
列	3	927	6	file, row, rank, tier, column	レツ,レ		刀
伊	9	703	6	Italy, that one	イ	かれ	化
太	2	552	4	plump, thick, big around	タイ,タ	ふと.い,ふと.る	大
久	5	688	3	long time, old story	キュウ,ク	ひさ.しい	ノ
蘭	9	1886	19	orchid, Holland	ラン,ラ		艾
印	4	682	6	stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India	イン	しるし,-じるし,しる.す	卩
那	8	1621	7	what?	ナ,ダ	なに,なんぞ,いかん	邦
克	8	1333	7	overcome, kindly, skillfully	コク	か.つ	儿
宇	6	883	6	eaves, roof, house, heaven	ウ		宀
柳	8	1169	9	willow	リュウ	やなぎ	木
貝	1	1787	7	shellfish	バイ	かい	貝
具	3	629	8	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture	グ	そな.える,つぶさ.に	ハ
幾	8	1725	12	how many, how much, how far, how long, some, several	キ	いく-,いく.つ,いく.ら	幺
及	8	544	3	reach out, exert, exercise, cause	キュウ	およ.ぶ,およ.び,および,およ.ぼす	又
歴	5	632	14	curriculum, continuation, passage of time	レキ,レッキ		止
豪	8	1104	14	overpowering, great, powerful, excelling, Australia	ゴウ	えら.い	豕
牛	2	1202	4	cow	ギュウ	うし	牛
津	8	1036	9	haven, port, harbor, ferry	シン	つ	汁
阿	9	1126	8	Africa, flatter, fawn upon, corner, nook, recess	ア,オ	おもね.る,くま	阡
児	4	679	7	newborn babe, child, young of animals	ジ,ニ,ゲイ	こ,-こ,-っこ	儿
録	4	546	16	record	ロク	しる.す,と.る	金
奈	4	841	8	Nara, what?	ナ,ナイ,ダイ	いかん,からなし	大
糸	1	1488	6	thread	シ	いと	糸
雀	9	1856	11	sparrow	ジャク,ジャン,サク,シャク	すずめ	隹
瓦	8	1850	5	tile, gram	ガ	かわら,ぐらむ	瓦
沈	8	1271	7	sink, be submerged, subside, be depressed, aloes	チン,ジン	しず.む,しず.める	汁
菜	4	1327	11	vegetable, side dish, greens	サイ	な	艾
馬	2	639	10	horse	バ	うま,うま-,ま	馬
丹	8	1402	4	rust-colored, red, red lead, pills, sincerity	タン	に	丶
鬼	8	1557	10	ghost, devil	キ	おに,おに-	鬼
督	8	534	13	coach, command, urge, lead, supervise	トク		目
希	4	896	7	hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal	キ,ケ	まれ,こいねが.う	巾
科	2	531	9	department, course, section	カ		禾
威	8	1103	9	intimidate, dignity, majesty, menace, threaten	イ	おど.す,おど.し,おど.かす	女
留	5	731	10	detain, fasten, halt, stop	リュウ,ル	と.める,と.まる,とど.める,とど.まる,るうぶる	田
徳	4	1091	14	benevolence, virtue, goodness, commanding respect	トク		彳
耳	1	1328	6	ear	ジ	みみ	耳
古	2	509	5	old	コ	ふる.い,ふる-,-ふる.す	口
洋	3	763	9	ocean, sea, foreign, Western style	ヨウ		汁
杯	8	1235	8	counter for cupfuls, wine glass, glass, toast	ハイ	さかずき	木
骨	6	936	10	skeleton, bone, remains, frame	コツ	ほね	骨
混	5	824	11	mix, blend, confuse	コン	ま.じる,-ま.じり,ま.ざる,ま.ぜる,こ.む	汁
砂	6	1146	9	sand	サ,シャ	すな	石
漠	8	1611	13	vague, obscure, desert, wide	バク		汁
沙	8	1897	7	sand	サ,シャ	すな,よなげる	汁
舎	5	1170	8	cottage, inn, hut, house, mansion	シャ,セキ	やど.る	化
路	3	529	13	path, route, road, distance	ロ,ル	-じ,みち	足
雪	2	1131	11	snow	セツ	ゆき	雨
伯	8	1741	7	chief, count, earl, uncle, Brazil	ハク		化
玉	1	737	5	jewel, ball	ギョク	たま,たま-,-だま	王
酒	3	1006	10	sake, alcohol	シュ	さけ,さか-	酉
叙	8	1954	9	confer, relate, narrate, describe	ジョ	つい.ず,ついで	又
