character	grade	frequency_rank	stroke_count	meaning	onyomi	kunyomi	radical
実	3	68	8	reality, truth, seed, fruit, nut	ジツ,シツ	み,みの.る,まこと,みの,みち.る	宀
円	1	69	4	circle, yen, round	エン	まる.い,まる,まど,まど.か,まろ.やか	冂
関	4	70	14	connection, barrier, gateway, involve, concerning	カン	せき,-ぜき,かか.わる,からくり,かんぬき	門
決	3	71	7	decide, fix, agree upon, appoint	ケツ	き.める,-ぎ.め,き.まる,さ.く	汁
子	1	72	3	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac	シ,ス,ツ	こ,-こ,ね	子
動	3	73	11	move, motion, change, confusion, shift, shake	ドウ	うご.く,うご.かす	力
京	2	74	8	capital, 10**16	キョウ,ケイ,キン	みやこ	亠
全	3	75	6	whole, entire, all, complete, fulfill	ゼン	まった.く,すべ.て	入
目	1	76	5	eye, class, look, insight, experience, care, favor	モク,ボク	め,-め,ま-	目
表	3	77	8	surface, table, chart, diagram	ヒョウ	おもて,-おもて,あらわ.す,あらわ.れる,あら.わす	衣
戦	4	78	13	war, battle, match	セン	いくさ,たたか.う,おのの.く,そよ.ぐ,わなな.く	戈
経	5	79	11	sutra, longitude, pass thru, expire, warp	ケイ,キョウ,キン	へ.る,た.つ,たていと,はか.る,のり	糸
通	2	80	10	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.	ツウ,ツ	とお.る,とお.り,-とお.り,-どお.り,とお.す,とお.し,-どお.し,かよ.う	込
外	2	81	5	outside	ガイ,ゲ	そと,ほか,はず.す,はず.れる,と-	夕
最	4	82	12	utmost, most, extreme	サイ,シュ	もっと.も,つま	曰
言	2	83	7	say, word	ゲン,ゴン	い.う,こと	言
氏	4	84	4	family name, surname, clan	シ	うじ,-うじ	氏
現	5	85	11	present, existing, actual	ゲン	あらわ.れる,あらわ.す,うつつ,うつ.つ	王
理	2	86	11	logic, arrangement, reason, justice, truth	リ	ことわり	王
調	3	87	15	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate	チョウ	しら.べる,しら.べ,ととの.う,ととの.える	言
体	2	88	7	body, substance, object, reality, counter for images	タイ,テイ	からだ,かたち	化
化	3	89	4	change, take the form of, influence, enchant, delude, -ization	カ,ケ	ば.ける,ば.かす,ふ.ける,け.する	匕
田	1	90	5	rice field, rice paddy	デン	た	田
当	2	91	6	hit, right, appropriate, himself	トウ	あ.たる,あ.たり,あ.てる,あ.て,まさ.に,まさ.にべし	ヨ
八	1	92	2	eight, eight radical (no. 12)	ハチ,ハツ	や,や.つ,やっ.つ,よう	ハ
六	1	93	4	six	ロク,リク	む,む.つ,むっ.つ,むい	ハ
約	4	94	9	promise, approximately, shrink	ヤク	つづ.まる,つづ.める,つづま.やか	糸
主	3	95	5	lord, chief, master, main thing, principal	シュ,ス,シュウ	ぬし,おも,あるじ	丶
題	3	96	18	topic, subject	ダイ		頁
下	1	97	3	below, down, descend, give, low, inferior	カ,ゲ	した,しも,もと,さ.げる,さ.がる,くだ.る,くだ.り,くだ.す,-くだ.す,くだ.さる,お.ろす,お.りる	一
首	2	98	9	neck, counter for songs and poems	シュ	くび	首
意	3	99	13	idea, mind, heart, taste, thought, desire, care, liking	イ		心
法	4	100	8	method, law, rule, principle, model, system	ホウ,ハッ,ホッ,フラン	のり	汁
不	4	101	4	negative, non-, bad, ugly, clumsy	フ,ブ		一
来	2	102	7	come, due, next, cause, become	ライ,タイ	く.る,きた.る,きた.す,き.たす,き.たる,き,こ	木
作	2	103	7	make, production, prepare, build	サク,サ	つく.る,つく.り,-づく.り	化
性	5	104	8	sex, gender, nature	セイ,ショウ	さが	心
的	4	105	8	bull's eye, mark, target, object, adjective ending	テキ	まと	白
要	4	106	9	need, main point, essence, pivot, key to	ヨウ	い.る,かなめ	西
用	2	107	5	utilize, business, service, use, employ	ヨウ	もち.いる	用
制	5	108	8	system, law, rule	セイ		刀
治	4	109	8	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve	ジ,チ	おさ.める,おさ.まる,なお.る,なお.す	汁
度	3	110	9	degrees, occurrence, time, counter for occurrences, consider, attitude	ド,ト,タク	たび,-た.い	广
務	5	111	11	task, duties	ム	つと.める	力
強	2	112	11	strong	キョウ,ゴウ	つよ.い,つよ.まる,つよ.める,し.いる,こわ.い	弓
気	1	113	6	spirit, mind, air, atmosphere, mood	キ,ケ	いき,き	气
小	1	114	3	little, small	ショウ	ちい.さい,こ-,お-,さ-	小
七	1	115	2	seven	シチ	なな,なな.つ,なの	一
成	4	116	6	turn into, become, get, grow, elapse, reach	セイ,ジョウ	な.る,な.す,-な.す	戈
期	3	117	12	period, time, date, term	キ,ゴ		月
公	2	118	4	public, prince, official, governmental	コウ,ク	おおやけ	ハ
持	3	119	9	hold, have	ジ	も.つ,-も.ち,も.てる	扎
野	2	120	11	plains, field, rustic, civilian life	ヤ,ショ	の,の-	里
協	4	121	8	co-, cooperation	キョウ		十
取	3	122	8	take, fetch, take up	シュ	と.る,と.り,と.り-,とり,-ど.り	又
都	3	123	11	metropolis, capital, all, everything	ト,ツ	みやこ	邦
和	3	124	8	harmony, Japanese style, peace, soften, Japan	ワ,オ,カ	やわ.らぐ,やわ.らげる,なご.む,なご.やか,あ.える	口
統	5	125	12	overall, relationship, ruling, governing	トウ	す.べる	糸
以	4	126	5	by means of, because, in view of, compared with	イ	もっ.て	化
機	4	127	16	loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion	キ	はた	木
平	3	128	5	even, flat, peace	ヘイ,ビョウ,ヒョウ	たい.ら,たい.らげる,ひら	干
総	5	129	14	general, whole, all, full, total	ソウ	す.べて,すべ.て,ふさ	糸
加	4	130	5	add, addition, increase, join, include, Canada	カ	くわ.える,くわ.わる	力
山	1	131	3	mountain	サン,セン	やま	山
思	2	132	9	think	シ	おも.う,おもえら.く,おぼ.す	心
家	2	133	10	house, home, family, professional, expert, performer	カ,ケ	いえ,や,うち	宀
話	2	134	13	tale, talk	ワ	はな.す,はなし	言
世	3	135	5	generation, world, society, public	セイ,セ,ソウ	よ	一
受	3	136	8	accept, undergo, answer (phone), take, get, catch, receive	ジュ	う.ける,-う.け,う.かる	又
区	3	137	4	ward, district	ク,オウ,コウ		
領	5	138	14	jurisdiction, dominion, territory, fief, reign	リョウ	えり	頁
多	2	139	6	many, frequent, much	タ	おお.い,まさ.に,まさ.る	夕
県	3	140	9	prefecture	ケン	か.ける	目
続	4	141	13	continue, series, sequel	ゾク,ショク,コウ,キョウ	つづ.く,つづ.ける,つぐ.ない	糸
進	3	142	11	advance, proceed, progress, promote	シン	すす.む,すす.める	込
正	1	143	5	correct, justice, righteous, 10**40	セイ,ショウ	ただ.しい,ただ.す,まさ,まさ.に	止
安	3	144	6	relax, cheap, low, quiet, rested, contented, peaceful	アン	やす.い,やす.まる,やす,やす.らか	宀
設	5	145	11	establishment, provision, prepare	セツ	もう.ける	言
保	5	146	9	protect, guarantee, keep, preserve, sustain, support	ホ,ホウ	たも.つ	化
改	4	147	7	reformation, change, modify, mend, renew, examine, inspect, search	カイ	あらた.める,あらた.まる	攵
数	2	148	13	number, strength, fate, law, figures	スウ,ス,サク,ソク,シュ	かず,かぞ.える,しばしば,せ.める,わずらわ.しい	攵
記	2	149	10	scribe, account, narrative	キ	しる.す	言
院	3	150	10	Inst., institution, temple, mansion, school	イン		阡
女	1	151	3	woman, female	ジョ,ニョ,ニョウ	おんな,め	女
初	4	152	7	first time, beginning	ショ	はじ.め,はじ.めて,はつ,はつ-,うい-,-そ.める,-ぞ.め	刀
北	2	153	5	north	ホク	きた	匕
午	2	154	4	noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac	ゴ	うま	十
指	3	155	9	finger, point to, indicate, put into, play (chess), measure (ruler)	シ	ゆび,さ.す,-さ.し	扎
権	6	156	15	authority, power, rights	ケン,ゴン	おもり,かり,はか.る	木
心	2	157	4	heart, mind, spirit, heart radical (no. 61)	シン	こころ,-ごころ	心
界	3	158	9	world, boundary	カイ		田
